date,total_portfolio_value,total_return,black_swan_protection_value,black_swan_protection_return,crisis_alpha_hunter_value,crisis_alpha_hunter_return
2024-06-14,8965.72020642215,-10.342797935778503,6344.83351127423,-9.359521267511006,2620.8866951479195,-12.63711016173602
2024-06-17,8894.35273416408,-11.056472658359196,6292.749708692557,-10.103575590106328,2601.603025471524,-13.279899150949204
2024-06-18,8916.02881984187,-10.83971180158131,6312.582509316497,-9.820249866907194,2603.446310525372,-13.218456315820927
2024-06-20,9072.923434878188,-9.270765651218117,6411.48224511803,-8.407396498313858,2661.4411897601585,-11.285293674661379
2024-06-21,8942.164850912817,-10.578351490871828,6324.243082021888,-9.653670256830171,2617.9217688909284,-12.735941036969056
2024-06-24,8951.112007302176,-10.488879926978246,6333.529584979866,-9.521005928859061,2617.58242232231,-12.747252589256341
2024-06-25,8844.925822055699,-11.550741779443019,6265.010925081238,-10.499843927410879,2579.914896974461,-14.002836767517968
2024-06-26,8733.173435898483,-12.668265641015164,6182.598094092264,-11.677170084396238,2550.57534180622,-14.980821939792666
2024-06-27,8736.27117320754,-12.637288267924596,6188.866318727308,-11.58762401818132,2547.4048544802336,-15.086504850658876
2024-06-28,8738.289709854049,-12.617102901459509,6179.984383985136,-11.71450880021233,2558.3053258689133,-14.723155804369558
2024-07-01,8547.200124625611,-14.527998753743887,6047.776105367863,-13.603198494744806,2499.4240192577486,-16.685866024741713
2024-07-02,8500.182265650834,-14.998177343491658,6021.8580813072185,-13.973455981325444,2478.3241843436144,-17.38919385521285
2024-07-03,8599.435755221208,-14.005642447787924,6095.4138494068875,-12.922659294187323,2504.0219058143202,-16.53260313952266
2024-07-05,8656.413301140987,-13.435866988590128,6139.432182717435,-12.293825961179493,2516.9811184235505,-16.10062938588165
2024-07-08,8570.289285350063,-14.297107146499366,6082.619163967187,-13.105440514754473,2487.6701213828774,-17.077662620570756
2024-07-09,8562.040017336043,-14.379599826639566,6074.959488760751,-13.214864446274987,2487.080528575293,-17.097315714156903
2024-07-10,8569.928084113364,-14.30071915886636,6082.501740040041,-13.107117999427986,2487.4263440733234,-17.085788530889225
2024-07-11,8655.821853334342,-13.441781466656577,6146.988608293821,-12.185877024373982,2508.8332450405205,-16.372225165315978
2024-07-12,8585.525673878608,-14.144743261213922,6104.243813647292,-12.796516947895832,2481.2818602313173,-17.290604658956088
2024-07-15,8638.557877973033,-13.614421220269668,6132.708300959842,-12.389881414859405,2505.849577013191,-16.47168076622697
